pulsep,pulsen,thrust_N,torque_Nm
1140,1300,1.0616,-0.019649
1140,1320,1.0629,-0.022051
1140,1340,1.1998,-0.024961
1140,1360,1.3116,-0.028397
1140,1380,1.4353,-0.032116
1140,1400,1.5332,-0.034733
1140,1420,1.6938,-0.038673
1140,1440,1.8227,-0.040968
1140,1460,1.9144,-0.043408
1140,1480,2.3326,-0.046621
1140,1500,2.29,-0.047937
1140,1520,2.3047,-0.050966
1140,1540,2.5326,-0.054233
1140,1560,3.1934,-0.062956
1140,1580,2.9156,-0.064856
1140,1600,3.1516,-0.068716
1140,1620,2.9351,-0.080162
1140,1640,3.4539,-0.081771
1140,1660,3.3376,-0.083993
1140,1680,3.4269,-0.090148
1140,1700,3.8839,-0.097513
1140,1720,5.1952,-0.108446
1140,1740,4.7079,-0.104896
1140,1760,5.5746,-0.116834
1140,1780,5.1108,-0.113702
1140,1800,4.9182,-0.1266
1160,1060,0.2825,0.005631
1160,1080,0.2685,0.004044
1160,1100,0.289,0.002836
1160,1120,0.3363,0.001369
1160,1140,0.3844,-0.000347
1160,1160,0.3858,-0.001628
1160,1180,0.4809,-0.004378
1160,1200,0.6441,-0.006037
1160,1220,0.7149,-0.008381
1160,1240,0.794,-0.010849
1160,1260,0.8907,-0.013445
1160,1280,0.9627,-0.014682
1160,1300,1.0885,-0.018042
1160,1320,1.1262,-0.021314
1160,1340,1.2479,-0.023947
1160,1360,1.3815,-0.027104
1160,1380,1.4628,-0.029633
1160,1400,1.5769,-0.032738
1160,1420,1.8029,-0.037427
1160,1440,1.8612,-0.038905
1160,1460,1.9644,-0.042692
1160,1480,2.3946,-0.044939
1160,1500,2.345,-0.045817
1160,1520,2.3887,-0.049627
1160,1540,2.59,-0.051363
1160,1560,3.334,-0.060727
1160,1580,3.0194,-0.062783
1160,1600,3.1666,-0.0667
1160,1620,2.9945,-0.076958
1160,1640,3.3805,-0.08066
1160,1660,3.352,-0.084005
1160,1680,3.2729,-0.090301
1160,1700,4.0087,-0.097271
1160,1720,4.8873,-0.105922
1160,1740,5.3669,-0.106879
